year,city,country,avg_temp
1743,Tunis,Tunisia,14.72
1744,Tunis,Tunisia,19.66
1745,Tunis,Tunisia,11.82
1746,Tunis,Tunisia,
1747,Tunis,Tunisia,
1748,Tunis,Tunisia,
1749,Tunis,Tunisia,
1750,Tunis,Tunisia,18.83
1751,Tunis,Tunisia,19.40
1752,Tunis,Tunisia,
1753,Tunis,Tunisia,18.45
1754,Tunis,Tunisia,18.47
1755,Tunis,Tunisia,18.21
1756,Tunis,Tunisia,18.67
1757,Tunis,Tunisia,18.43
1758,Tunis,Tunisia,17.25
1759,Tunis,Tunisia,18.36
1760,Tunis,Tunisia,17.94
1761,Tunis,Tunisia,18.62
1762,Tunis,Tunisia,18.56
1763,Tunis,Tunisia,17.90
1764,Tunis,Tunisia,18.62
1765,Tunis,Tunisia,18.57
1766,Tunis,Tunisia,18.52
1767,Tunis,Tunisia,18.20
1768,Tunis,Tunisia,17.43
1769,Tunis,Tunisia,18.27
1770,Tunis,Tunisia,18.18
1771,Tunis,Tunisia,18.62
1772,Tunis,Tunisia,19.58
1773,Tunis,Tunisia,18.28
1774,Tunis,Tunisia,18.76
1775,Tunis,Tunisia,18.94
1776,Tunis,Tunisia,18.27
1777,Tunis,Tunisia,18.09
1778,Tunis,Tunisia,18.68
1779,Tunis,Tunisia,18.75
1780,Tunis,Tunisia,19.14
1781,Tunis,Tunisia,18.67
1782,Tunis,Tunisia,18.04
1783,Tunis,Tunisia,18.33
1784,Tunis,Tunisia,18.27
1785,Tunis,Tunisia,17.99
1786,Tunis,Tunisia,18.36
1787,Tunis,Tunisia,18.54
1788,Tunis,Tunisia,18.97
1789,Tunis,Tunisia,18.00
1790,Tunis,Tunisia,18.57
1791,Tunis,Tunisia,18.70
1792,Tunis,Tunisia,18.41
1793,Tunis,Tunisia,17.99
1794,Tunis,Tunisia,18.24
1795,Tunis,Tunisia,18.42
1796,Tunis,Tunisia,18.50
1797,Tunis,Tunisia,18.37
1798,Tunis,Tunisia,18.54
1799,Tunis,Tunisia,18.58
1800,Tunis,Tunisia,18.98
1801,Tunis,Tunisia,18.95
1802,Tunis,Tunisia,19.08
1803,Tunis,Tunisia,18.66
1804,Tunis,Tunisia,19.01
1805,Tunis,Tunisia,18.00
1806,Tunis,Tunisia,18.47
1807,Tunis,Tunisia,18.57
1808,Tunis,Tunisia,17.39
1809,Tunis,Tunisia,17.63
1810,Tunis,Tunisia,17.76
1811,Tunis,Tunisia,18.17
1812,Tunis,Tunisia,17.35
1813,Tunis,Tunisia,17.59
1814,Tunis,Tunisia,17.11
1815,Tunis,Tunisia,17.82
1816,Tunis,Tunisia,17.15
1817,Tunis,Tunisia,17.85
1818,Tunis,Tunisia,18.30
1819,Tunis,Tunisia,18.05
1820,Tunis,Tunisia,18.30
1821,Tunis,Tunisia,18.05
1822,Tunis,Tunisia,18.76
1823,Tunis,Tunisia,17.92
1824,Tunis,Tunisia,18.20
1825,Tunis,Tunisia,18.16
1826,Tunis,Tunisia,17.99
1827,Tunis,Tunisia,18.14
1828,Tunis,Tunisia,18.64
1829,Tunis,Tunisia,17.92
1830,Tunis,Tunisia,18.40
1831,Tunis,Tunisia,18.36
1832,Tunis,Tunisia,18.12
1833,Tunis,Tunisia,18.03
1834,Tunis,Tunisia,18.33
1835,Tunis,Tunisia,17.57
1836,Tunis,Tunisia,17.82
1837,Tunis,Tunisia,17.39
1838,Tunis,Tunisia,18.11
